Farmer_Message,Advisor_Reply,Crop,Problem_Type,Language,Location,Season,Urgency_Level,Sentiment,Advisor_Type,Product_Recommended,Cost_Estimate,Follow_Up_Required,Message_Length,Intent_Tag,Timestamp
मसाला के फसल पानी के कमी के कारण खराब हो रहल बा।,माटी के जाँच करीं आ कीटनाशक लगाईं।,Spices,Water,Bhojpuri,Arunachal Pradesh,Zaid,Low,Hopeful,Govt_Expert,Pesticide,349,No,12,ask_advice,24/02/2025 22:32
എന്റെ റാഗി ന് കാലാവസ്ഥാ പ്രശ്നം നാശം വരുത്തി.,ഫംഗിസൈഡ് തളിക്കുക.,Ragi,Weather,Malayalam,Andhra Pradesh,Summer,Medium,Angry,Private,Fungicide,4476,No,22,ask_advice,26/02/2025 17:56
ᱫᱟᱜ ᱨᱮᱫᱚ ᱵᱟᱹᱨᱩᱜ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱵᱟᱨᱮ ᱧᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱟᱨ ᱵᱟᱨᱩᱜᱟᱹᱱᱟᱥᱟᱜ ᱞᱟᱜᱟᱣ ᱢᱮᱱᱟᱜᱼᱟ।,Rice,Disease,Santhali,Himachal Pradesh,Rabi,Low,Angry,Private,Fungicide,3739,No,6,ask_advice,27/04/2025 14:07
ನನ್ನ ಹತ್ತಿ ಗೆ ನೀರಿನ ಕೊರತೆ ಆಗಿವೆ.,ಹನಿ ನೀರಾವರಿ ಕಿಟ್ ಬಳಸಿ.,Cotton,Water,Kannada,Meghalaya,Rabi,High,Hopeful,AI,Drip Kit,1525,No,16,ask_advice,12/05/2024 21:17
எனது பயறு க்கு வானிலை பிரச்சனை தாக்குதல் உள்ளது.,உரம் தெளிக்கவும்.,Pulses,Weather,Tamil,Chhattisgarh,Zaid,Medium,Neutral,Govt_Expert,Fertilizer,1965,No,24,ask_advice,22/08/2024 17:31
हमार टमाटर में पोषक तत्व के कमी हो गइल बा।,ड्रिप किट के उपयोग करीं।,Tomato,Nutrient,Bhojpuri,Haryana,Kharif,Medium,Frustrated,Govt_Expert,Drip Kit,4030,No,10,ask_advice,13/12/2024 12:21
మా సుగంధ ద్రవ్యాలు కి వాతావరణ సమస్య నష్టం కలిగింది.,నేలను పరీక్షించి నీటిపారుదల పంపు వాడండి.,Spices,Weather,Telugu,Maharashtra,Winter,High,Hopeful,AI,Irrigation Pump,2390,No,25,ask_advice,31/07/2024 04:50
ঐগী কলা দা পুষ্টিগী অভাৱ গী আক্রমণ ওইরে।,ফাংগিচাইড স্প্রে কৰবা।,Banana,Nutrient,Manipuri,Maharashtra,Kharif,Medium,Hopeful,Human,Fungicide,2747,Yes,8,ask_advice,12/10/2024 19:11
मेरे मसाले को पानी की कमी ने नुकसान कर दिया है।,नीम का तेल का छिड़काव करो।,Spices,Water,Haryanvi,Meghalaya,Monsoon,Low,Angry,NGO,Neem Oil,1962,Yes,11,ask_advice,12/04/2025 20:25
କଦଳୀ ଫସଲ ପାଗ ସମସ୍ୟା କାରଣରୁ ନଷ୍ଟ ହେଉଛି।,ଡ୍ରିପ୍ ଇରିଗେସନ୍ କିଟ୍ ସ୍ପ୍ରେ କରନ୍ତୁ।,Banana,Weather,Odia,Gujarat,Kharif,Medium,Frustrated,AI,Drip Kit,2634,No,7,ask_advice,11/05/2024 05:53
गन्ना की फसल पानी की कमी से खराब हो रही है।,मिट्टी की जांच करें और फफूंदनाशक लगाएं।,Sugarcane,Water,Hindi,Himachal Pradesh,Kharif,Low,Worried,Govt_Expert,Fungicide,4031,No,11,ask_advice,19/03/2024 11:39
మా కాఫీ కి పురుగులు నష్టం కలిగింది.,ఫంగిసైడ్ స్ప్రే చేయండి.,Coffee,Pest,Telugu,Assam,Zaid,Medium,Hopeful,Private,Fungicide,982,No,17,ask_advice,09/02/2024 02:33
आलू की फसल उपकरण की समस्या से खराब हो रही है।,ड्रिप किट का उपयोग करें।,Potato,Equipment,Hindi,Sikkim,Zaid,Medium,Hopeful,AI,Drip Kit,4877,No,11,ask_advice,11/09/2024 01:57
தினை பயிர் பூச்சிகள் காரணமாக பாதிக்கப்பட்டுள்ளது.,மண்ணை சோதித்து நீர்ப்பாசன பம்பு பயன்படுத்தவும்.,Millets,Pest,Tamil,Bihar,Kharif,Low,Angry,NGO,Irrigation Pump,1647,Yes,24,ask_advice,12/01/2024 19:56
અમારા દાળ ને રોગ થી નુકસાન થયું છે.,ખાતર નો છંટકાવ કરો.,Pulses,Disease,Gujarati,Maharashtra,Kharif,High,Hopeful,NGO,Fertilizer,4963,No,8,ask_advice,22/03/2025 05:43
ଚା ଫସଲ ଉପକରଣ ସମସ୍ୟା କାରଣରୁ ନଷ୍ଟ ହେଉଛି।,କୀଟନାଶକ ବ୍ୟବହାର କରନ୍ତୁ।,Tea,Equipment,Odia,Meghalaya,Kharif,High,Hopeful,Private,Pesticide,853,Yes,7,ask_advice,01/04/2024 12:42
మా వంగ కి పురుగులు నష్టం కలిగింది.,ఎరువు స్ప్రే చేయండి.,Brinjal,Pest,Telugu,Madhya Pradesh,Kharif,Medium,Neutral,NGO,Fertilizer,812,No,17,ask_advice,02/01/2025 12:30
गहूं को खेत बाजार री समस्या रो कारण खराब हो रियो है।,कीटनाशक रो छिड़काव करो।,Wheat,Market,Rajasthani,Chhattisgarh,Rabi,Medium,Worried,Human,Pesticide,2856,No,12,ask_advice,12/09/2024 01:25
منہ چای کو پانی دی کمی نی نقصان کرو۔,کھاد دا چھڑکاو کرو۔,Tea,Water,Kashmiri,Andhra Pradesh,Monsoon,Medium,Worried,Private,Fertilizer,1860,No,9,ask_advice,14/02/2025 08:41
मेरे दाल में पानी की कमी हो गए हैं।,कीटनाशक का छिड़काव करें।,Pulses,Water,Hindi,Uttarakhand,Winter,Medium,Angry,Private,Pesticide,1927,Yes,9,ask_advice,25/02/2025 16:51
ᱜᱟᱱᱟ ᱨᱮᱫᱚ ᱯᱩᱥᱛᱤ ᱵᱟᱹᱜᱟᱱᱟ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱫᱟᱜ ᱯᱟᱢᱯ ᱵᱮᱵᱷᱟᱨ ᱢᱮᱱᱟᱜᱼᱟ।,Sugarcane,Nutrient,Santhali,Goa,Kharif,Low,Frustrated,Human,Irrigation Pump,2562,No,7,ask_advice,28/07/2024 04:25
पियाज के फसल रोग के कारण खराब हो रहल अछि।,माटी के जाँच करू आ सिंचाई पंप लगाऊ।,Onion,Disease,Maithili,Himachal Pradesh,Summer,Low,Angry,Private,Irrigation Pump,1064,Yes,10,ask_advice,17/04/2025 04:08
हमर कॉफी मे बाजार के समस्या भ गेल अछि।,माटी के जाँच करू आ खाद लगाऊ।,Coffee,Market,Maithili,Tamil Nadu,Summer,Medium,Hopeful,Human,Fertilizer,2622,No,9,ask_advice,10/01/2024 16:02
ମୋ ଧାନ ରେ ରୋଗ ହୋଇଛି।,ସାର ସ୍ପ୍ରେ କରନ୍ତୁ।,Rice,Disease,Odia,Tamil Nadu,Rabi,High,Worried,NGO,Fertilizer,2414,Yes,5,ask_advice,24/12/2024 19:21
ಎನ್ನ ಕಾಫಿ ಡ್ ಪೋಷಕಾಂಶ ಕೊರತೆ ಆತ್ಂಡ್.,ಮಣ್ಣ್ ಪರಿಶೀಲನೆ ಮಲ್ತ್ ಕೀಟನಾಶಕ ಹಾಕುಲೆ।,Coffee,Nutrient,Tulu,Telangana,Rabi,Medium,Angry,Private,Pesticide,3674,Yes,6,ask_advice,04/05/2024 13:35
અમારા મસાલા માં હવામાન સમસ્યા થયા છે.,કંઈ નહીં નો ઉપયોગ કરો.,Spices,Weather,Gujarati,Punjab,Winter,Low,Worried,NGO,None,0,Yes,7,ask_advice,20/05/2024 15:51
آلو دی فصل آلہ دی پریشانی کی وجہ سی خراب ہو رہی ہے۔,مٹی دی جانچ کرو تے ڈرپ ایریگیشن کٹ لاو۔,Potato,Equipment,Kashmiri,Maharashtra,Monsoon,Low,Angry,AI,Drip Kit,2724,Yes,13,ask_advice,27/09/2024 00:05
ನನ್ನ ಸೇಬು ಗೆ ರೋಗ ಆಗಿವೆ.,ಕೀಟನಾಶಕ ಸಿಂಪಡಿಸಿ.,Apple,Disease,Kannada,Nagaland,Kharif,Medium,Neutral,Private,Pesticide,447,Yes,11,ask_advice,17/02/2025 04:18
মোৰ ধান ত ৰোগৰ আক্ৰমণ হৈছে।,ড্ৰিপ ইৰিগেচন কিট স্প্ৰে কৰক।,Rice,Disease,Assamese,Chhattisgarh,Monsoon,Low,Frustrated,Govt_Expert,Drip Kit,4109,Yes,6,ask_advice,24/08/2024 20:13
কলা শস্য পানীগী অভাৱ গী কারণদা নষ্ট ওইরে।,কোনো নৌ শিজিন্নবা।,Banana,Water,Manipuri,Assam,Zaid,High,Angry,NGO,None,0,No,8,ask_advice,22/01/2024 06:45
ঐগী বাজৰা দা কীট গী আক্রমণ ওইরে।,চাৰ স্প্রে কৰবা।,Millets,Pest,Manipuri,Manipur,Monsoon,Medium,Angry,Govt_Expert,Fertilizer,1508,Yes,7,ask_advice,13/03/2024 19:36
எனது கேழ்வரகு இல் சந்தை பிரச்சனை உள்ளன.,சொட்டு நீர்ப்பாசன கருவி தெளிக்கவும்.,Ragi,Market,Tamil,Gujarat,Rabi,High,Worried,NGO,Drip Kit,3163,No,19,ask_advice,13/09/2024 19:16
म्हारा बाजरो ने पाणी रो अभाव से नुकसान भयो है।,सिंचाई पंप रो छिड़काव करो।,Millets,Water,Rajasthani,Arunachal Pradesh,Winter,Medium,Angry,Private,Irrigation Pump,3291,Yes,10,ask_advice,06/01/2025 23:09
हमर मसाला मे मौसम के समस्या भ गेल अछि।,माटी के जाँच करू आ कीटनाशक लगाऊ।,Spices,Weather,Maithili,Arunachal Pradesh,Winter,Low,Frustrated,NGO,Pesticide,3632,Yes,9,ask_advice,13/02/2025 05:59
સફરજન નું પાક રોગ ને કારણે ખરાબ થઈ રહ્યું છે.,જમીનનું પરીક્ષણ કરો અને ખાતર લગાવો.,Apple,Disease,Gujarati,Madhya Pradesh,Summer,High,Neutral,AI,Fertilizer,2389,Yes,10,ask_advice,27/08/2024 08:52
ᱟᱢᱟᱜ ᱫᱟᱜ ᱨᱮ ᱫᱟᱜ ᱵᱟᱹᱜᱟᱱᱟ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱫᱟᱜ ᱯᱟᱢᱯ ᱵᱮᱵᱷᱟᱨ ᱢᱮᱱᱟᱜᱼᱟ।,Rice,Water,Santhali,Nagaland,Monsoon,High,Hopeful,AI,Irrigation Pump,2290,No,8,ask_advice,04/05/2024 16:50
ਮੇਰੀ ਕੇਲਾ ਨੂੰ ਪਾਣੀ ਦੀ ਕਮੀ ਨੇ ਨੁਕਸਾਨ ਪਹੁੰਚਾਇਆ ਹੈ।,ਨੀਮ ਦਾ ਤੇਲ ਦਾ ਛਿੜਕਾਅ ਕਰੋ।,Banana,Water,Punjabi,Sikkim,Zaid,Low,Hopeful,NGO,Neem Oil,3806,Yes,10,ask_advice,09/03/2025 02:18
गन्ना की फसल पोषक तत्वों की कमी से खराब हो रही है।,मिट्टी की जांच करें और फफूंदनाशक लगाएं।,Sugarcane,Nutrient,Hindi,Uttarakhand,Monsoon,High,Hopeful,Human,Fungicide,2916,No,12,ask_advice,12/01/2025 07:14
منہ دال منز آلہ دی پریشانی آیو۔,مٹی دی جانچ کرو تے کیڑہ مار دوا لاو۔,Pulses,Equipment,Kashmiri,Andhra Pradesh,Kharif,High,Worried,Private,Pesticide,675,No,7,ask_advice,09/09/2024 06:59
मेरे गेहूं में पोषक तत्वों की कमी हो गए हैं।,कीटनाशक का उपयोग करो।,Wheat,Nutrient,Haryanvi,Punjab,Winter,Medium,Angry,AI,Pesticide,2317,Yes,10,ask_advice,16/10/2024 12:41
എന്റെ വാഴപ്പഴം ൽ കീടങ്ങൾ ഉണ്ട്.,ഡ്രിപ്പ് ഇറിഗേഷൻ കിറ്റ് തളിക്കുക.,Banana,Pest,Malayalam,Rajasthan,Rabi,Medium,Frustrated,NGO,Drip Kit,2440,Yes,15,ask_advice,20/01/2024 23:49
ମୋ ଚା ରେ ରୋଗ ହୋଇଛି।,ମାଟି ପରୀକ୍ଷା କରନ୍ତୁ ଏବଂ ଫଙ୍ଗିସାଇଡ୍ ଲଗାନ୍ତୁ।,Tea,Disease,Odia,Assam,Zaid,Medium,Frustrated,Govt_Expert,Fungicide,2487,No,5,ask_advice,27/05/2024 19:31
ᱟᱢᱟᱜ ᱟᱢ ᱨᱮ ᱯᱩᱥᱛᱤ ᱵᱟᱹᱜᱟᱱᱟ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱵᱟᱨᱮ ᱧᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱟᱨ ᱵᱟᱨᱩᱜᱟᱹᱱᱟᱥᱟᱜ ᱞᱟᱜᱟᱣ ᱢᱮᱱᱟᱜᱼᱟ।,Mango,Nutrient,Santhali,Tamil Nadu,Rabi,High,Frustrated,Human,Fungicide,2009,No,6,ask_advice,29/09/2024 06:08
ઘઉં નું પાક સાધન સમસ્યા ને કારણે ખરાબ થઈ રહ્યું છે.,જમીનનું પરીક્ષણ કરો અને સિંચાઈ પંપ લગાવો.,Wheat,Equipment,Gujarati,Madhya Pradesh,Winter,High,Frustrated,Govt_Expert,Irrigation Pump,959,No,11,ask_advice,10/12/2024 10:45
మా బియ్యం కి నీటి కొరత నష్టం కలిగింది.,డ్రిప్ ఇరిగేషన్ కిట్ వాడండి.,Rice,Water,Telugu,Tamil Nadu,Winter,Low,Worried,Human,Drip Kit,2034,Yes,19,ask_advice,30/04/2025 08:34
અમારા ચોખા ને બજાર સમસ્યા થી નુકસાન થયું છે.,જમીનનું પરીક્ષણ કરો અને જંતુનાશક લગાવો.,Rice,Market,Gujarati,Assam,Monsoon,High,Neutral,Govt_Expert,Pesticide,703,No,9,ask_advice,17/04/2025 04:08
कपास के फसल मौसम के समस्या के कारण खराब हो रहल अछि।,कीटनाशक के छिड़काव करू।,Cotton,Weather,Maithili,Chhattisgarh,Kharif,Low,Hopeful,Govt_Expert,Pesticide,1177,Yes,12,ask_advice,05/01/2024 06:53
दाल की फसल रोग की वजह से खराब हो रही है।,कुच्छ नह का उपयोग करो।,Pulses,Disease,Haryanvi,Telangana,Monsoon,Low,Neutral,Govt_Expert,None,0,Yes,11,ask_advice,26/04/2024 15:50
ಅಕ್ಕಿ ಬೆಳೆ ಮಾರುಕಟ್ಟೆ ಸಮಸ್ಯೆ ಕಾರಣದಿಂದ ಹಾಳಾಗುತ್ತಿದೆ.,ನೀರಾವರಿ ಪಂಪ್ ಸಿಂಪಡಿಸಿ.,Rice,Market,Kannada,Nagaland,Summer,High,Hopeful,AI,Irrigation Pump,3209,No,25,ask_advice,13/11/2024 23:53
ਕਪਾਹ ਦੀ ਫਸਲ ਪਾਣੀ ਦੀ ਕਮੀ ਕਾਰਨ ਖਰਾਬ ਹੋ ਰਹੀ ਹੈ।,ਮਿੱਟੀ ਦੀ ਜਾਂਚ ਕਰੋ ਅਤੇ ਖਾਦ ਲਗਾਓ।,Cotton,Water,Punjabi,Nagaland,Summer,High,Hopeful,Human,Fertilizer,1020,Yes,11,ask_advice,13/08/2024 04:25
গম শস্য বজাৰৰ সমস্যাৰ কাৰণে নষ্ট হৈছে।,একো নাই ব্যৱহাৰ কৰক।,Wheat,Market,Assamese,Haryana,Rabi,Low,Frustrated,Private,None,0,No,7,ask_advice,26/01/2025 07:10
ಎನ್ನ ಬಾಳೆ ಗ್ ಕಿರ ರ್ದ್ ನಷ್ಟ ಆತ್ಂಡ್.,ಮಣ್ಣ್ ಪರಿಶೀಲನೆ ಮಲ್ತ್ ಗೊಬ್ಬರ ಹಾಕುಲೆ।,Banana,Pest,Tulu,Karnataka,Rabi,Low,Neutral,Human,Fertilizer,4321,Yes,7,ask_advice,30/04/2025 08:27
منہ پیاز کو موسم دی پریشانی نی نقصان کرو۔,ڈرپ ایریگیشن کٹ استیمال کرو۔,Onion,Weather,Kashmiri,Gujarat,Monsoon,Low,Frustrated,Human,Drip Kit,651,Yes,9,ask_advice,28/10/2024 07:07
ঐগী বাজৰা দা মৌজমগী সমস্যা গী আক্রমণ ওইরে।,মাটি পৰীক্ষা কৰি কোনো নৌ প্রয়োগ কৰবা।,Millets,Weather,Manipuri,Kerala,Rabi,Medium,Worried,Govt_Expert,None,0,No,8,ask_advice,15/07/2024 18:59
म्हज्या ऊस आंत पोषक द्रव्यांचो अभाव जालां।,माती तपासून कांय ना लाय।,Sugarcane,Nutrient,Konkani,Karnataka,Winter,High,Angry,AI,None,0,No,7,ask_advice,18/02/2025 04:16
தேநீர் பயிர் நோய் காரணமாக பாதிக்கப்பட்டுள்ளது.,பூஞ்சாண நாசினி தெளிக்கவும்.,Tea,Disease,Tamil,Punjab,Winter,Medium,Worried,AI,Fungicide,3993,No,23,ask_advice,09/02/2025 14:53
ಎನ್ನ ಪರಂಗಿ ಗ್ ಕಿರ ರ್ದ್ ನಷ್ಟ ಆತ್ಂಡ್.,ಮಣ್ಣ್ ಪರಿಶೀಲನೆ ಮಲ್ತ್ ಗೊಬ್ಬರ ಹಾಕುಲೆ।,Cotton,Pest,Tulu,West Bengal,Rabi,Low,Hopeful,Private,Fertilizer,2182,Yes,7,ask_advice,09/01/2025 05:39
हमार केला के मौसम के समस्या से नुकसान भइल बा।,सिंचाई पंप के उपयोग करीं।,Banana,Weather,Bhojpuri,Odisha,Monsoon,Low,Neutral,NGO,Irrigation Pump,4844,No,10,ask_advice,16/01/2025 16:31
माझ्या केळी मध्ये उपकरण समस्या आहेत.,मातीची तपासणी करा आणि निंबोळी तेल लावा.,Banana,Equipment,Marathi,Arunachal Pradesh,Zaid,Low,Angry,AI,Neem Oil,440,No,6,ask_advice,24/03/2024 19:50
எனது கேழ்வரகு இல் நோய் உள்ளன.,மண்ணை சோதித்து வேப்ப எண்ணெய் பயன்படுத்தவும்.,Ragi,Disease,Tamil,Odisha,Winter,High,Angry,Govt_Expert,Neem Oil,4944,No,14,ask_advice,31/01/2025 02:32
माझ्या ऊस ला पोषक द्रव्यांची कमतरता ने नुकसान केले आहे.,काही नाही वापरा.,Sugarcane,Nutrient,Marathi,Odisha,Winter,Medium,Frustrated,NGO,None,0,Yes,10,ask_advice,21/10/2024 03:32
എന്റെ പരുത്തി ൽ വിപണി പ്രശ്നം ഉണ്ട്.,കീടനാശിനി ഉപയോഗിക്കുക.,Cotton,Market,Malayalam,Arunachal Pradesh,Summer,High,Neutral,Private,Pesticide,3701,Yes,18,ask_advice,08/01/2024 22:22
मेरे आलू को बाजार की समस्या ने नुकसान पहुंचाया है।,सिंचाई पंप का उपयोग करें।,Potato,Market,Hindi,Himachal Pradesh,Winter,Medium,Worried,AI,Irrigation Pump,1528,No,10,ask_advice,02/04/2025 00:42
माझ्या कॉफी ला बाजार समस्या ने नुकसान केले आहे.,ठिबक सिंचन किट वापरा.,Coffee,Market,Marathi,Meghalaya,Summer,Low,Neutral,Human,Drip Kit,2879,No,9,ask_advice,02/02/2025 08:55
ਮੇਰੀ ਅੰਬ ਦੀ ਫਸਲ ਵਿੱਚ ਕੀੜੇ ਹਨ।,ਸਿੰਚਾਈ ਪੰਪ ਦਾ ਛਿੜਕਾਅ ਕਰੋ।,Mango,Pest,Punjabi,Jharkhand,Rabi,Low,Angry,NGO,Irrigation Pump,4354,No,7,ask_advice,24/03/2024 09:55
எனது மசாலா க்கு நோய் தாக்குதல் உள்ளது.,எதுவுமில்லை தெளிக்கவும்.,Spices,Disease,Tamil,Madhya Pradesh,Summer,Low,Angry,Human,None,0,No,19,ask_advice,05/10/2024 14:02
మా సుగంధ ద్రవ్యాలు కి మార్కెట్ సమస్య నష్టం కలిగింది.,పురుగుమందు స్ప్రే చేయండి.,Spices,Market,Telugu,Sikkim,Winter,Low,Neutral,AI,Pesticide,2262,Yes,26,ask_advice,12/10/2024 10:32
पियाज के फसल मौसम के समस्या के कारण खराब हो रहल बा।,कीटनाशक के छिड़काव करीं।,Onion,Weather,Bhojpuri,Sikkim,Winter,High,Neutral,AI,Pesticide,2168,Yes,12,ask_advice,25/01/2024 08:18
मेरे कपास में मौसम की समस्या हो गए हैं।,मिट्टी की जांच करो और कीटनाशक लगाओ।,Cotton,Weather,Haryanvi,Punjab,Kharif,Medium,Neutral,AI,Pesticide,3412,No,9,ask_advice,16/01/2025 09:17
म्हज्या केळ आंत किडे जालां।,कांय ना वापर।,Banana,Pest,Konkani,Madhya Pradesh,Summer,Medium,Hopeful,Human,None,0,No,5,ask_advice,13/09/2024 15:40
காபி பயிர் வானிலை பிரச்சனை காரணமாக பாதிக்கப்பட்டுள்ளது.,பூச்சிக்கொல்லி பயன்படுத்தவும்.,Coffee,Weather,Tamil,Andhra Pradesh,Kharif,Low,Angry,Human,Pesticide,2812,No,27,ask_advice,29/12/2024 12:22
টমেটো শস্য পানীৰ অভাৱৰ কাৰণে নষ্ট হৈছে।,ড্ৰিপ ইৰিগেচন কিট স্প্ৰে কৰক।,Tomato,Water,Assamese,Tamil Nadu,Kharif,Low,Worried,NGO,Drip Kit,3586,Yes,7,ask_advice,18/06/2024 04:02
منہ چای کو موسم دی پریشانی نی نقصان کرو۔,نیم دا تیل استیمال کرو۔,Tea,Weather,Kashmiri,Karnataka,Kharif,Medium,Worried,Human,Neem Oil,3168,No,9,ask_advice,25/02/2025 05:21
ᱟᱢᱟᱜ ᱠᱚᱯᱷᱤ ᱨᱮ ᱫᱟᱜ ᱵᱟᱹᱜᱟᱱᱟ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱫᱟᱜ ᱯᱟᱢᱯ ᱵᱮᱵᱷᱟᱨ ᱢᱮᱱᱟᱜᱼᱟ।,Coffee,Water,Santhali,Assam,Monsoon,Low,Angry,Govt_Expert,Irrigation Pump,2860,No,8,ask_advice,24/02/2025 06:42
মোৰ মছলা ত বজাৰৰ সমস্যাৰ আক্ৰমণ হৈছে।,একো নাই স্প্ৰে কৰক।,Spices,Market,Assamese,Chhattisgarh,Zaid,Low,Angry,NGO,None,0,No,7,ask_advice,19/01/2024 07:43
منہ دال منز پانی دی کمی آیو۔,ڈرپ ایریگیشن کٹ دا چھڑکاو کرو۔,Pulses,Water,Kashmiri,Tripura,Rabi,High,Angry,AI,Drip Kit,418,Yes,7,ask_advice,08/12/2024 00:57
منہ باجرا منز بازار دی پریشانی آیو۔,کہین نہ استیمال کرو۔,Millets,Market,Kashmiri,Himachal Pradesh,Zaid,High,Angry,Human,None,0,No,7,ask_advice,01/04/2024 11:55
म्हारा सेब में पाणी रो अभाव हो गया है।,सिंचाई पंप रो छिड़काव करो।,Apple,Water,Rajasthani,Chhattisgarh,Kharif,High,Worried,AI,Irrigation Pump,1300,Yes,9,ask_advice,12/04/2024 15:23
मेरे आम में पानी की कमी हो गए हैं।,फफूंदनाशक का उपयोग करो।,Mango,Water,Haryanvi,Andhra Pradesh,Monsoon,Low,Neutral,AI,Fungicide,1528,No,9,ask_advice,02/09/2024 16:07
ᱟᱢᱟᱜ ᱫᱟᱞ ᱨᱮ ᱠᱤᱲᱟ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱵᱟᱨᱮ ᱧᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱟᱨ ᱱᱤᱢ ᱛᱮᱞ ᱞᱟᱜᱟᱣ ᱢᱮᱱᱟᱜᱼᱟ।,Pulses,Pest,Santhali,Tripura,Rabi,Low,Frustrated,NGO,Neem Oil,2959,Yes,7,ask_advice,26/01/2024 22:00
ৰাগি শস্য বজাৰগী সমস্যা গী কারণদা নষ্ট ওইরে।,কোনো নৌ স্প্রে কৰবা।,Ragi,Market,Manipuri,Kerala,Summer,Low,Hopeful,AI,None,0,Yes,8,ask_advice,30/03/2024 10:35
म्हारा सेब में कीड़ा हो गया है।,माटी रो परीक्षण करो अर सिंचाई पंप लगावो।,Apple,Pest,Rajasthani,Uttar Pradesh,Rabi,Medium,Angry,Private,Irrigation Pump,897,No,7,ask_advice,07/01/2025 07:32
બાજરી નું પાક હવામાન સમસ્યા ને કારણે ખરાબ થઈ રહ્યું છે.,ફૂગનાશક નો ઉપયોગ કરો.,Millets,Weather,Gujarati,Maharashtra,Summer,Medium,Frustrated,Govt_Expert,Fungicide,4191,No,11,ask_advice,22/05/2024 08:28
म्हज्या नाचणी आक बाजार समस्या नुकसान जालें।,निंबोळी तेल ची फवारणी कर।,Ragi,Market,Konkani,Karnataka,Zaid,Medium,Frustrated,AI,Neem Oil,2954,Yes,7,ask_advice,08/11/2024 19:35
हमर रागी के मौसम के समस्या से नुकसान भ गेल अछि।,माटी के जाँच करू आ ड्रिप किट लगाऊ।,Ragi,Weather,Maithili,Mizoram,Kharif,High,Neutral,NGO,Drip Kit,3674,Yes,11,ask_advice,22/02/2025 16:25
मेरे कॉफी को कीड़े ने नुकसान कर दिया है।,मिट्टी की जांच करो और सिंचाई पंप लगाओ।,Coffee,Pest,Haryanvi,Andhra Pradesh,Monsoon,Medium,Angry,Govt_Expert,Irrigation Pump,4862,Yes,9,ask_advice,03/07/2024 23:22
মোৰ টমেটো ত ৰোগ হৈছে।,চিঞ্চন পাম্প ব্যৱহাৰ কৰক।,Tomato,Disease,Assamese,Gujarat,Summer,High,Worried,Govt_Expert,Irrigation Pump,337,Yes,5,ask_advice,28/04/2024 05:21
प्याज की फसल उपकरण की समस्या से खराब हो रही है।,फफूंदनाशक का उपयोग करें।,Onion,Equipment,Hindi,Jharkhand,Kharif,High,Frustrated,Govt_Expert,Fungicide,1945,No,11,ask_advice,19/10/2024 03:38
म्हारा कपास में पोषक तत्व रो अभाव हो गया है।,सिंचाई पंप रो छिड़काव करो।,Cotton,Nutrient,Rajasthani,West Bengal,Monsoon,High,Angry,NGO,Irrigation Pump,1445,No,10,ask_advice,20/10/2024 01:47
हमर कॉफी के बाजार के समस्या से नुकसान भ गेल अछि।,नीम तेल के उपयोग करू।,Coffee,Market,Maithili,Manipur,Monsoon,Medium,Angry,Private,Neem Oil,111,No,11,ask_advice,15/04/2024 07:40
আমার আম এ পোকা হয়েছে।,কিছুই না ব্যবহার করুন।,Mango,Pest,Bengali,Uttarakhand,Monsoon,Low,Neutral,AI,None,0,No,5,ask_advice,31/03/2025 01:51
எனது தினை க்கு ஊட்டச்சத்து குறைபாடு தாக்குதல் உள்ளது.,பூச்சிக்கொல்லி பயன்படுத்தவும்.,Millets,Nutrient,Tamil,Sikkim,Monsoon,Medium,Hopeful,Govt_Expert,Pesticide,217,Yes,26,ask_advice,14/11/2024 17:24
ᱟᱢᱟᱜ ᱠᱚᱯᱷᱤ ᱨᱮ ᱵᱟᱡᱟᱨ ᱵᱟᱹᱜᱟᱱᱟ ᱫᱟᱹᱭᱠᱟᱛᱮ ᱵᱷᱟᱹᱜᱟᱭ ᱦᱩᱭᱟᱠᱟᱱᱟ।,ᱫᱟᱜ ᱯᱟᱢᱯ ᱵᱮᱵᱷᱟᱨ ᱢᱮᱱᱟᱜᱼᱟ।,Coffee,Market,Santhali,Arunachal Pradesh,Summer,High,Angry,NGO,Irrigation Pump,541,Yes,8,ask_advice,27/08/2024 15:48
